circular,n_longerons,n_storeys,twist_angle,ratio_shear_modulus,bow_amplitude,ratio_a,ratio_b,ratio_pitch,ratio_top_diameter,sigma_crit,coilable,_delegation_id,_source,_ts,_wall_ms,max_compressive_strain,max_local_strain
2.0,3.0,1.0,0.0,0.3677,0.0847152570262551,0.0132241080850362,0.0405406323261559,0.7466705209575593,0.4772449923679232,5.326385428808764,1,D012,supercompressible-material-creative,2026-07-07T03:36:50+00:00,2194182.813,0.7541269134410546,0.0428154505789279
2.0,3.0,1.0,0.0,0.3677,0.1701488118618727,0.0128364346027374,0.0219224338047206,0.6748003625310957,0.4182922286912798,1.9927047701468448,1,D012,supercompressible-material-creative,2026-07-07T03:37:18+00:00,2223821.705,,
2.0,3.0,1.0,0.0,0.3677,0.0683791099116206,0.0173209077268838,0.0155146111221984,0.9174124819226565,0.1944689160212874,1.3694115716808253,1,D012,supercompressible-material-creative,2026-07-07T03:41:50+00:00,2495482.432,0.996692403662871,0.0469626039266586
2.0,3.0,1.0,0.0,0.3677,0.0492865778505802,0.008630696222186,0.0323598262667655,0.9829165953211484,0.5639122880995273,0.8626197915580728,0,D012,supercompressible-material-creative,2026-07-07T03:45:38+00:00,222927.487,,
2.0,3.0,1.0,0.0,0.3677,0.0069646168500185,0.0183997801691293,0.038064105422236,0.8769052840769291,0.5162835912778974,12.037206655926228,1,D012,supercompressible-material-creative,2026-07-07T03:57:24+00:00,928670.6,0.0170105900303527,0.0040974169969558
2.0,3.0,1.0,0.0,0.3677,0.1866421975195408,0.0170849015712738,0.0150664860615506,0.4828762774355709,0.1828693214803934,1.2927201097696106,1,D012,supercompressible-material-creative,2026-07-07T03:59:38+00:00,1063229.445,0.2793877873695148,0.0267599169164896
2.0,3.0,1.0,0.0,0.3677,0.0689951099455356,0.0159023562967777,0.0270484395837411,0.422514150571078,0.4316203258931637,4.5365524978913845,1,D012,supercompressible-material-creative,2026-07-07T03:59:46+00:00,1071453.016,0.4415314094935478,0.0339474976062774
2.0,3.0,1.0,0.0,0.3677,0.0551802409812808,0.0106311067342758,0.0427394529199227,0.5322443549521267,0.1253870906308293,1.7752778972242371,1,D012,supercompressible-material-creative,2026-07-07T04:00:16+00:00,1101531.172,0.5969981758193795,0.0198991894721984
2.0,3.0,1.0,0.0,0.3677,0.0172700541093945,0.0071280380934476,0.0229207681724801,0.7671827489510178,0.1899902947247028,0.2877648695055941,1,D012,supercompressible-material-creative,2026-07-07T04:02:11+00:00,1216399.995,0.1983907457652626,0.0064405621960759
2.0,3.0,1.0,0.0,0.3677,0.1561885671690106,0.0145783429145812,0.0395336605608463,0.3491656675934791,0.5614422474056482,9.2649397538562,1,D012,supercompressible-material-creative,2026-07-07T04:02:55+00:00,1260941.365,0.999992846568632,0.0507981441915035
2.0,3.0,1.0,0.0,0.3677,0.1875726355239749,0.0043249049484729,0.0349915081867948,0.4606455723755061,0.4577806552872061,0.2113492761624054,1,D012,supercompressible-material-creative,2026-07-07T04:17:10+00:00,2115827.985,0.1509087812636668,0.0058990777470171
2.0,3.0,1.0,0.0,0.3677,0.1487199950963258,0.0125817137211561,0.030367043367587,0.8163374537602066,0.0994048213586211,1.9123209135558987,1,D012,supercompressible-material-creative,2026-07-07T04:18:27+00:00,2191526.846,0.0901406759025315,0.0080127622932195
2.0,3.0,1.0,0.0,0.3677,0.088566275127232,0.0164011615812778,0.0277351112384349,0.6495353059843183,0.0600786499679088,3.038289084283361,1,D012,supercompressible-material-creative,2026-07-07T04:21:04+00:00,2350094.738,0.3837816445682313,0.0243063792586326
2.0,3.0,1.0,0.0,0.3677,0.0872444499284029,0.0051255246400833,0.0125279541034251,0.3217575386166572,0.3491260142996907,0.0756474054845318,1,D012,supercompressible-material-creative,2026-07-07T04:32:15+00:00,3019275.633,0.9999999027452824,0.0132564259693026
2.0,3.0,1.0,0.0,0.3677,0.1075210906565189,0.0063272934108972,0.0442092919070273,0.7154529300518333,0.0157106537371873,0.3913726153925101,1,D012,supercompressible-material-creative,2026-07-07T04:33:50+00:00,3115190.848,,
2.0,3.0,1.0,0.0,0.3677,0.1255301253870129,0.0098222019821405,0.0109896973287686,0.8385598219931125,0.3919763971120119,0.3024920069063642,1,D012,supercompressible-material-creative,2026-07-07T04:34:02+00:00,3127990.457,,
2.0,3.0,1.0,0.0,0.3677,0.1182179166004061,0.0190833952873945,0.0244848084170371,0.9557225066237152,0.3278679197654128,5.015714979893384,1,D012,supercompressible-material-creative,2026-07-07T04:34:10+00:00,3135409.142,,
2.0,3.0,1.0,0.0,0.3677,0.1696135748177767,0.011822733670473,0.020357387214899,0.589442934282124,0.2316979816183447,1.1009277930143373,1,D012,supercompressible-material-creative,2026-07-07T04:34:14+00:00,3139087.06,0.9998382168146946,0.0297188628464937
2.0,3.0,1.0,0.0,0.3677,0.0264865709468722,0.013905848160386,0.0166044589877128,0.6551471856422721,0.2948517428711056,1.113660188461689,1,D012,supercompressible-material-creative,2026-07-07T04:34:15+00:00,3140491.087,0.9905197606616056,0.0356294177472591
2.0,3.0,1.0,0.0,0.3677,0.1536223910894544,0.0145685653607549,0.0394659479760171,0.364747634274767,0.544479273546041,8.771347223680536,1,D012,supercompressible-material-creative,2026-07-07T05:16:07+00:00,910428.929,0.2296964915863871,0.0295211635529994
2.0,3.0,1.0,0.0,0.3677,0.0828598216977883,0.0183421460729045,0.0131650465285486,0.3,0.375773622352127,1.2040601961378856,1,D012,supercompressible-material-creative,2026-07-07T05:22:31+00:00,1293587.845,0.6273140589396159,0.0435388162732124
2.0,3.0,1.0,0.0,0.3677,0.0862488163642283,0.0051257452556468,0.0126073637026934,0.3487825190419665,0.3491609561464997,0.0756516496163475,1,D012,supercompressible-material-creative,2026-07-07T05:26:19+00:00,1521075.114,,
